Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
2021-08-26,2.644964486052391,1.2048834503808792,1.8625868661670155,0.7495359056429621,2.7382366758861214,1.6469049646025364,3.5170319859988273,0.8439282837454049,1.031357055310839,1.090103874469083,0.9630337788248085,0.8417209207993749,2.3068244679752365,0.7397685095691179,0.7994910778473107,1.1196825010011733,0.7971000887527685,0.6312148582796213,1.05527782520412,1.9370799933618825,1.546122949080075,2.1890845292032344,2.462694032853648,2.230096079552934,0.5507004619958552
2021-08-27,1.789844600635856,1.0729650151409482,1.6081811846201104,0.7301286714205215,2.125462267062107,1.0862563649093144,2.463865429762302,0.6678906821409478,0.896617625582492,0.8774904959029698,1.223796576513231,0.93705558393638,2.152382899433893,0.4462789935978472,0.6625186558094546,0.96423340385533,0.647999037984888,0.36875503773935886,0.992143340143752,1.3236319191890913,1.2940756792929438,2.1800828136386525,1.7999980399311393,2.2380112135408368,0.714255934005807
2021-08-30,1.8488504840505977,1.3514565264938492,2.054273071778889,1.037710737245108,2.9988288145318216,1.4922592659699228,3.101636710373176,0.7327982556854867,1.175136270276975,0.8442021124550936,1.1475409900376348,1.460746493105712,1.7313648648004187,0.5070380341859765,0.7251234274649817,0.9876961934331323,0.7896154832354674,0.38294197688301046,1.2180772680144991,1.6832285685446289,1.2517318301234683,2.125555951333203,2.0899633338477392,2.0595267758581355,1.1198287169154382
2021-08-31,2.3774595693831317,1.9745464869579328,2.147416452681312,1.4539388580662462,2.8457334585298466,2.1183817494673804,3.0747039831198264,0.8350789544380198,1.2207518306125629,0.7931450916665098,1.3344589992701348,1.636177044246891,1.3230728045815496,0.5037778148511816,0.727850833252708,1.0029600689227753,0.9585937484770136,0.396128895239522,1.1820338884200317,1.9754239796722808,1.3530361281304175,2.5543762682185336,2.6057045331251634,2.032783989479519,1.3510897295076099
2021-09-01,2.436474726628143,1.7912695959159728,2.243148379170495,1.9503886516985902,2.9467233511834268,2.0302321340657112,3.0419409775526356,0.5633393898831277,1.3295277547910482,0.5834950055086923,1.191897774450399,1.6950850983121868,1.0773091081495911,0.4959237901469238,0.5402021494237194,0.9381269476634156,0.8313199689253571,0.34560701675624905,1.0319612635813877,1.7662949187792338,1.3234122150180616,2.4184129613700804,3.4089508667933965,3.3821667016183863,1.4145451059783074
2021-09-02,2.3779540536466657,1.84056477504696,2.5849760459523448,2.442030742561599,3.5381718208121202,2.328357309108277,3.550028085962073,0.45680690933044804,1.338927113617607,0.6996175662215185,1.4712305844648723,1.3858060128472132,0.878482537554134,0.6677589982184531,0.4712100833699356,1.0019013745575431,0.5852370206035034,0.5052730564609165,1.2592769328565692,1.749894358716767,1.2781085753536245,0.9017645108994902,3.2775941549166063,4.220635842093565,1.2265241009417118
2021-09-03,1.9907524470871831,1.5971352690716643,2.4058864929536625,2.1063064564262013,2.1455474149457836,1.559597974639762,2.2352581114317562,0.6291151617201615,1.1452193344043542,0.8257513100081304,1.9342243917846171,1.2961133818035828,0.8891626008690418,0.560798382785016,0.7152464364877913,0.9789483688030965,0.7948293330906161,0.4160066720215501,1.2136823890234099,1.9493649173735728,1.3052689237304849,0.7115212432223825,2.6137105981201425,2.314822204396032,1.2703119715913394
2021-09-07,1.7242618799307177,1.6487552505519845,2.4716250989615354,2.3620135809659106,2.1266008732576727,1.5777387735826873,2.345414477985341,0.6516103016035415,1.2298484850419125,0.7891546442218369,1.6673959961548264,1.4362620023020087,0.9621409395507692,0.5666964928718768,0.7508357788054302,0.876848953321584,0.9811738237143194,0.3826661379263931,1.0920619463227212,1.8925700036020459,1.1567535561340538,0.6162133065468738,2.5545603009038476,2.279774613998535,0.973100508861062
2021-09-08,1.4561954862850406,1.6842932643437765,2.5860881100021924,2.545609106550046,2.1146204374238953,1.6791273922283596,2.3882941278562244,0.6839849438440821,2.3502433267214418,0.4227719675192568,1.1962566958097764,1.3118862400218618,1.0421094914170694,0.4792756320302567,0.8068346141892738,0.544197044977982,0.7918216817324651,0.4896690162920543,0.7989975401345816,1.3537074495543384,0.6155950570794586,0.3713795976693481,2.0493138915478597,2.399620718322244,1.2108237190427567
2021-09-09,1.6584725691159097,1.571268517267385,2.9545172945263767,4.629370078248339,2.653346610785546,1.9959541494359572,3.039041068784423,0.6557333935832282,4.08290287925817,0.3201342681724606,0.7817858314430587,1.765390519168326,1.2002464465022553,0.6792532799277722,0.7909075104465735,0.3954102741119527,1.8750770214315906,0.6753663049946909,0.9563497059664599,1.7055812812512945,0.38769881706713727,0.38440304545578385,2.317455928827127,2.3529729286488412,0.9098323186128742
2021-09-10,1.581112998308898,2.3140169077978867,3.669172052975544,4.802339134133606,3.5602419445184736,2.3928448989971822,3.8067070432250563,0.9312750354328875,3.265470863832608,0.22302197951416408,0.8971401259510863,3.0921551987163474,1.571997714402489,0.7351476187223712,0.966349927816426,0.34813353024908145,1.825279713931032,0.7310822005081263,1.1623958965890486,2.532204828499402,0.3525834918768203,0.3609467117391072,3.3993176045759697,1.715948873562937,1.377288495930753
